drafter,split,position,step,acc,sum,total
eagle3,train,1,0,0.00e+00,0.00e+00,1.71e+04
eagle3,train,1,10,0.116,2.17e+03,1.87e+04
eagle3,train,1,20,0.178,3.26e+03,1.83e+04
eagle3,train,1,30,0.204,3.47e+03,1.70e+04
eagle3,train,1,40,0.232,4.28e+03,1.84e+04
eagle3,train,1,50,0.237,3.72e+03,1.57e+04
eagle3,train,1,60,0.290,4.73e+03,1.63e+04
eagle3,train,1,70,0.296,5.31e+03,1.79e+04
eagle3,train,1,80,0.328,4.61e+03,1.41e+04
eagle3,train,1,90,0.333,4.53e+03,1.36e+04
eagle3,train,1,100,0.298,5.64e+03,1.89e+04
eagle3,train,1,110,0.344,6.46e+03,1.88e+04
eagle3,train,1,120,0.302,5.33e+03,1.77e+04
eagle3,train,1,130,0.349,4.48e+03,1.28e+04
eagle3,train,1,140,0.368,5.40e+03,1.47e+04
eagle3,train,1,150,0.355,5.70e+03,1.61e+04
eagle3,train,1,160,0.394,4.79e+03,1.21e+04
eagle3,train,1,170,0.373,6.59e+03,1.77e+04
eagle3,train,1,180,0.380,5.91e+03,1.56e+04
eagle3,train,1,190,0.393,5.93e+03,1.51e+04
eagle3,train,1,200,0.403,5.71e+03,1.42e+04
eagle3,train,1,210,0.404,4.62e+03,1.15e+04
eagle3,train,1,220,0.376,4.26e+03,1.13e+04
eagle3,train,1,230,0.416,6.01e+03,1.44e+04
eagle3,train,1,240,0.414,7.48e+03,1.81e+04
eagle3,train,1,250,0.428,5.59e+03,1.31e+04
eagle3,train,1,260,0.429,6.47e+03,1.51e+04
eagle3,train,1,270,0.439,6.54e+03,1.49e+04
eagle3,train,1,280,0.438,7.78e+03,1.78e+04
eagle3,train,1,290,0.424,6.38e+03,1.51e+04
eagle3,train,1,300,0.431,6.78e+03,1.58e+04
eagle3,train,1,310,0.431,6.35e+03,1.47e+04
eagle3,train,1,320,0.430,7.11e+03,1.65e+04
eagle3,train,1,330,0.422,6.47e+03,1.53e+04
eagle3,train,1,340,0.411,6.43e+03,1.56e+04
eagle3,train,1,350,0.466,5.57e+03,1.20e+04
eagle3,train,1,360,0.452,6.88e+03,1.52e+04
eagle3,train,1,370,0.418,6.13e+03,1.47e+04
eagle3,train,1,380,0.418,7.73e+03,1.85e+04
eagle3,train,1,390,0.437,5.39e+03,1.23e+04
eagle3,train,1,400,0.469,5.96e+03,1.27e+04
eagle3,train,1,410,0.480,6.25e+03,1.30e+04
eagle3,train,1,420,0.433,7.79e+03,1.80e+04
eagle3,train,1,430,0.476,8.89e+03,1.87e+04
eagle3,train,1,440,0.471,5.56e+03,1.18e+04
eagle3,train,1,450,0.489,8.38e+03,1.71e+04
eagle3,train,1,460,0.471,6.93e+03,1.47e+04
eagle3,train,1,470,0.462,1.04e+04,2.25e+04
eagle3,train,1,480,0.469,8.51e+03,1.82e+04
eagle3,train,1,490,0.491,8.24e+03,1.68e+04
eagle3,train,1,500,0.475,9.85e+03,2.07e+04
eagle3,train,1,510,0.447,5.69e+03,1.27e+04
eagle3,train,1,520,0.494,9.73e+03,1.97e+04
eagle3,train,1,530,0.489,6.86e+03,1.40e+04
eagle3,train,1,540,0.510,7.05e+03,1.38e+04
eagle3,train,1,550,0.508,8.31e+03,1.63e+04
eagle3,train,1,560,0.473,9.41e+03,1.99e+04
eagle3,train,1,570,0.496,1.12e+04,2.27e+04
eagle3,train,1,580,0.517,1.01e+04,1.96e+04
eagle3,train,1,590,0.498,8.81e+03,1.77e+04
eagle3,train,1,600,0.511,9.60e+03,1.88e+04
